ID,Catégorie,Question,Réponse 1,Score 1,Réponse 2,Score 2,Réponse 3,Score 3
1,Leadership,Comment les dirigeants s’impliquent-ils dans la sécurité alimentaire ?,Très impliqués,5,Moyennement impliqués,3,Pas impliqués,1
2,Hygiène,Quelle est la fréquence des audits d’hygiène dans votre entreprise ?,Hebdomadaire,5,Mensuel,3,Trimestriel,1
3,Formation,À quelle fréquence vos employés reçoivent-ils une formation en sécurité alimentaire ?,Tous les 6 mois,5,Une fois par an,3,Moins souvent,1
4,Engagement des employés,Les employés participent-ils activement à l’amélioration des pratiques de sécurité alimentaire ?,Oui,5,Non,0,Pas du tout,0
5,Risques alimentaires,Les employés sont-ils conscients des risques alimentaires potentiels ?,Oui,5,Non,0,Partiellement,2
6,Leadership,Comment les dirigeants s’impliquent-ils dans la sécurité alimentaire ?,Très impliqués,5,Moyennement impliqués,3,Pas impliqués,1
7,Hygiène,Quelle est la fréquence des audits d’hygiène dans votre entreprise ?,Hebdomadaire,5,Mensuel,3,Trimestriel,1
8,Formation,À quelle fréquence vos employés reçoivent-ils une formation en sécurité alimentaire ?,Tous les 6 mois,5,Une fois par an,3,Moins souvent,1
9,Engagement des employés,Les employés participent-ils activement à l’amélioration des pratiques de sécurité alimentaire ?,Oui,5,Non,0,Pas du tout,0
10,Risques alimentaires,Les employés sont-ils conscients des risques alimentaires potentiels ?,Oui,5,Non,0,Partiellement,2
11,Leadership,Comment les dirigeants s’impliquent-ils dans la sécurité alimentaire ?,Très impliqués,5,Moyennement impliqués,3,Pas impliqués,1
12,Hygiène,Quelle est la fréquence des audits d’hygiène dans votre entreprise ?,Hebdomadaire,5,Mensuel,3,Trimestriel,1
13,Formation,À quelle fréquence vos employés reçoivent-ils une formation en sécurité alimentaire ?,Tous les 6 mois,5,Une fois par an,3,Moins souvent,1
14,Engagement des employés,Les employés participent-ils activement à l’amélioration des pratiques de sécurité alimentaire ?,Oui,5,Non,0,Pas du tout,0
15,Risques alimentaires,Les employés sont-ils conscients des risques alimentaires potentiels ?,Oui,5,Non,0,Partiellement,2
16,Leadership,Comment les dirigeants s’impliquent-ils dans la sécurité alimentaire ?,Très impliqués,5,Moyennement impliqués,3,Pas impliqués,1
17,Hygiène,Quelle est la fréquence des audits d’hygiène dans votre entreprise ?,Hebdomadaire,5,Mensuel,3,Trimestriel,1
18,Formation,À quelle fréquence vos employés reçoivent-ils une formation en sécurité alimentaire ?,Tous les 6 mois,5,Une fois par an,3,Moins souvent,1
19,Engagement des employés,Les employés participent-ils activement à l’amélioration des pratiques de sécurité alimentaire ?,Oui,5,Non,0,Pas du tout,0
20,Risques alimentaires,Les employés sont-ils conscients des risques alimentaires potentiels ?,Oui,5,Non,0,Partiellement,2
21,Leadership,Comment les dirigeants s’impliquent-ils dans la sécurité alimentaire ?,Très impliqués,5,Moyennement impliqués,3,Pas impliqués,1
22,Hygiène,Quelle est la fréquence des audits d’hygiène dans votre entreprise ?,Hebdomadaire,5,Mensuel,3,Trimestriel,1
23,Formation,À quelle fréquence vos employés reçoivent-ils une formation en sécurité alimentaire ?,Tous les 6 mois,5,Une fois par an,3,Moins souvent,1
24,Engagement des employés,Les employés participent-ils activement à l’amélioration des pratiques de sécurité alimentaire ?,Oui,5,Non,0,Pas du tout,0
25,Risques alimentaires,Les employés sont-ils conscients des risques alimentaires potentiels ?,Oui,5,Non,0,Partiellement,2
26,Leadership,Comment les dirigeants s’impliquent-ils dans la sécurité alimentaire ?,Très impliqués,5,Moyennement impliqués,3,Pas impliqués,1
27,Hygiène,Quelle est la fréquence des audits d’hygiène dans votre entreprise ?,Hebdomadaire,5,Mensuel,3,Trimestriel,1
28,Formation,À quelle fréquence vos employés reçoivent-ils une formation en sécurité alimentaire ?,Tous les 6 mois,5,Une fois par an,3,Moins souvent,1
29,Engagement des employés,Les employés participent-ils activement à l’amélioration des pratiques de sécurité alimentaire ?,Oui,5,Non,0,Pas du tout,0
30,Risques alimentaires,Les employés sont-ils conscients des risques alimentaires potentiels ?,Oui,5,Non,0,Partiellement,2
31,Leadership,Comment les dirigeants s’impliquent-ils dans la sécurité alimentaire ?,Très impliqués,5,Moyennement impliqués,3,Pas impliqués,1
32,Hygiène,Quelle est la fréquence des audits d’hygiène dans votre entreprise ?,Hebdomadaire,5,Mensuel,3,Trimestriel,1
33,Formation,À quelle fréquence vos employés reçoivent-ils une formation en sécurité alimentaire ?,Tous les 6 mois,5,Une fois par an,3,Moins souvent,1
34,Engagement des employés,Les employés participent-ils activement à l’amélioration des pratiques de sécurité alimentaire ?,Oui,5,Non,0,Pas du tout,0
35,Risques alimentaires,Les employés sont-ils conscients des risques alimentaires potentiels ?,Oui,5,Non,0,Partiellement,2
36,Leadership,Comment les dirigeants s’impliquent-ils dans la sécurité alimentaire ?,Très impliqués,5,Moyennement impliqués,3,Pas impliqués,1
37,Hygiène,Quelle est la fréquence des audits d’hygiène dans votre entreprise ?,Hebdomadaire,5,Mensuel,3,Trimestriel,1
38,Formation,À quelle fréquence vos employés reçoivent-ils une formation en sécurité alimentaire ?,Tous les 6 mois,5,Une fois par an,3,Moins souvent,1
39,Engagement des employés,Les employés participent-ils activement à l’amélioration des pratiques de sécurité alimentaire ?,Oui,5,Non,0,Pas du tout,0
40,Risques alimentaires,Les employés sont-ils conscients des risques alimentaires potentiels ?,Oui,5,Non,0,Partiellement,2